"","Total Bags","Small Bags","Large Bags","XLarge Bags","Species"
"1",8696.87,8603.62,93.25,0,"Albany"
"2",9505.56,9408.07,97.49,0,"Albany"
"3",8145.35,8042.21,103.14,0,"Albany"
"4",5811.16,5677.4,133.76,0,"Albany"
"5",8205.66,7877.86,327.8,0,"Albany"
"6",10123.9,9866.27,257.63,0,"Albany"
"7",8756.75,8379.98,376.77,0,"Albany"
"8",6034.46,5888.87,145.59,0,"Albany"
"9",9267.36,8489.1,778.26,0,"Albany"
"10",9286.68,8665.19,621.49,0,"Albany"
"11",7990.1,7762.87,227.23,0,"Albany"
"12",10306.73,10218.93,87.8,0,"Albany"
"13",10880.36,10745.79,134.57,0,"Albany"
"14",10443.22,10297.68,145.54,0,"Albany"
"15",9225.89,9116.34,109.55,0,"Albany"
"16",11847.02,11768.52,78.5,0,"Albany"
"17",13192.69,13061.53,131.16,0,"Albany"
"18",11287.48,11103.49,183.99,0,"Albany"
"19",24431.9,24290.08,108.49,33.33,"Albany"
"20",29898.96,29663.19,235.77,0,"Albany"
"21",26662.08,26311.76,350.32,0,"Albany"
"22",21875.65,21662,213.65,0,"Albany"
"23",29002.59,28343.14,659.45,0,"Albany"
"24",22775.21,22314.99,460.22,0,"Albany"
"25",23681.01,23222.49,458.52,0,"Albany"
"26",29355.13,28761.81,593.32,0,"Albany"
"27",26657.44,26285.43,372.01,0,"Albany"
"28",16821.3,16535.55,285.75,0,"Albany"
"29",12570.51,12201.95,368.56,0,"Albany"
"30",12778.44,12076.83,701.61,0,"Albany"
"31",14301.92,13602.97,698.95,0,"Albany"
"32",17104.37,16438.49,665.88,0,"Albany"
"33",10728.94,9869.16,755.61,104.17,"Albany"
"34",7684.08,7208.49,475.59,0,"Albany"
"35",9749.66,9252.6,497.06,0,"Albany"
"36",10370.69,9989.59,381.1,0,"Albany"
"37",9181.99,8827.55,354.44,0,"Albany"
"38",9151.45,8986.06,165.39,0,"Albany"
"39",9379.54,9000.16,379.38,0,"Albany"
"40",10313.03,9979.87,333.16,0,"Albany"
"41",10621.54,10113.1,508.44,0,"Albany"
"42",9323.18,9170.82,152.36,0,"Albany"
"43",10845.82,10103.35,742.47,0,"Albany"
"44",11921.05,11651.09,269.96,0,"Albany"
"45",8424.77,8036.04,388.73,0,"Albany"
"46",9716.46,9186.93,529.53,0,"Albany"
"47",66354.31,48605.95,17748.36,0,"Atlanta"
"48",58797.87,46930.26,11867.61,0,"Atlanta"
"49",61545.31,38903.57,22628.21,13.53,"Atlanta"
"50",50690.04,37032.67,13654.66,2.71,"Atlanta"
"51",53794.68,33031.72,20738.55,24.41,"Atlanta"
"52",56382.08,36992.3,19389.78,0,"Atlanta"
"53",47046.48,33656.42,13390.06,0,"Atlanta"
"54",48628.65,35662.93,12941.12,24.6,"Atlanta"
"55",65398.38,39460.77,25929.39,8.22,"Atlanta"
"56",56751.46,31826.88,24924.58,0,"Atlanta"
"57",60339.19,36884.35,23454.84,0,"Atlanta"
"58",86294.11,41159.96,45134.15,0,"Atlanta"
"59",59460.41,14875.64,44584.77,0,"Atlanta"
"60",45662.3,20533.87,25125.65,2.78,"Atlanta"
"61",86201.96,33698.43,52442.25,61.28,"Atlanta"
"62",75983.02,46290.32,29678.76,13.94,"Atlanta"
"63",94436.19,49833.55,44549.67,52.97,"Atlanta"
"64",61281.24,47138.07,14112.5,30.67,"Atlanta"
"65",57418.09,45534.11,11883.98,0,"Atlanta"
"66",59216.9,45068.25,14148.65,0,"Atlanta"
"67",67472.2,45820.45,21568.48,83.27,"Atlanta"
"68",53888.32,42126.47,11720.3,41.55,"Atlanta"
"69",57210.66,45114.22,12096.44,0,"Atlanta"
"70",61292.37,45099.87,16192.5,0,"Atlanta"
"71",58303.85,46023.59,12280.26,0,"Atlanta"
"72",70560.49,50684.74,19851,24.75,"Atlanta"
"73",65342.19,52099.76,13108.03,134.4,"Atlanta"
"74",74542.11,55484.76,19010.81,46.54,"Atlanta"
"75",61261.44,48612.13,12578.28,71.03,"Atlanta"
"76",72290.28,50954.84,21329.99,5.45,"Atlanta"
"77",51735.02,40505.16,11199.95,29.91,"Atlanta"
"78",56539.87,33867,22651.15,21.72,"Atlanta"
"79",45392.29,33710.2,11682.09,0,"Atlanta"
"80",46668.26,34108.44,12559.82,0,"Atlanta"
"81",66181.63,32520.82,33660.81,0,"Atlanta"
"82",41511.84,31315.29,10196.55,0,"Atlanta"
"83",43342.6,29661.72,13680.88,0,"Atlanta"
"84",50884.32,25833.07,25051.25,0,"Atlanta"
"85",45037.12,28612.48,16289.92,134.72,"Atlanta"
"86",43780.25,29313.92,14466.33,0,"Atlanta"
"87",62275.1,40495.12,21766.54,13.44,"Atlanta"
"88",46575.23,34911.7,11625.94,37.59,"Atlanta"
"89",43241.42,33847.33,9394.09,0,"Atlanta"
"90",49456.96,32180.9,17273.38,2.68,"Atlanta"
"91",43430.04,33423.74,10006.3,0,"Atlanta"
"92",44885.92,26727.66,18158.26,0,"Atlanta"
"93",38940.18,18044.41,20895.77,0,"Atlanta"
"94",51694.49,10553.73,41140.76,0,"Atlanta"
"95",36612.16,13176.39,23435.77,0,"Atlanta"
"96",40040.48,16782.71,23257.77,0,"Atlanta"
"97",47038.08,21309.61,25728.47,0,"Atlanta"
"98",46815.79,16707.15,30108.64,0,"Atlanta"
"99",144911.1,142543.88,2367.22,0,"BaltimoreWashington"
"100",144238.07,141751.91,2486.16,0,"BaltimoreWashington"
"101",150966.28,149070.4,1895.88,0,"BaltimoreWashington"
"102",118664.97,117112.77,1552.2,0,"BaltimoreWashington"
"103",105468.28,103615.95,1852.33,0,"BaltimoreWashington"
"104",121670.73,119007.61,2663.12,0,"BaltimoreWashington"
"105",129760.36,125297.67,4462.69,0,"BaltimoreWashington"
"106",144840.21,138777.63,6062.58,0,"BaltimoreWashington"
"107",157925.7,152716.4,5209.3,0,"BaltimoreWashington"
"108",156128.69,149987.55,6141.14,0,"BaltimoreWashington"
"109",151925.64,146421.02,5504.62,0,"BaltimoreWashington"
"110",168354.42,163669.01,4685.41,0,"BaltimoreWashington"
"111",172234.02,167494.61,4739.41,0,"BaltimoreWashington"
"112",151893.12,146792.81,5100.31,0,"BaltimoreWashington"
"113",174029.62,168889.78,5139.84,0,"BaltimoreWashington"
"114",151499.56,145686.02,5813.54,0,"BaltimoreWashington"
"115",168970.84,165696.58,3268.72,5.54,"BaltimoreWashington"
"116",185304.24,181968.79,3158.9,176.55,"BaltimoreWashington"
"117",178376.77,175047.15,3060.44,269.18,"BaltimoreWashington"
"118",155975.35,153156.63,2796.82,21.9,"BaltimoreWashington"
"119",164862.89,161564.81,3298.08,0,"BaltimoreWashington"
"120",166728.92,163667.68,3061.24,0,"BaltimoreWashington"
"121",178660.25,174774.8,3880.04,5.41,"BaltimoreWashington"
"122",200713.09,196837.6,3862.02,13.47,"BaltimoreWashington"
"123",193887.17,189236.32,4406.05,244.8,"BaltimoreWashington"
"124",206108.89,200097.99,5890.57,120.33,"BaltimoreWashington"
"125",211564.63,207378.09,4022.51,164.03,"BaltimoreWashington"
"126",224622.73,220904.35,3488.37,230.01,"BaltimoreWashington"
"127",249197.18,244982.26,3668.3,546.62,"BaltimoreWashington"
"128",225052.84,221165.85,3626.41,260.58,"BaltimoreWashington"
"129",217785.55,211787.29,5730.22,268.04,"BaltimoreWashington"
"130",234503.17,228842.95,5548.94,111.28,"BaltimoreWashington"
"131",227331.17,222163.1,5152.19,15.88,"BaltimoreWashington"
"132",224519.06,215572.03,8947.03,0,"BaltimoreWashington"
"133",209686.17,201874.28,7767.45,44.44,"BaltimoreWashington"
"134",218351.8,212064.73,6184.29,102.78,"BaltimoreWashington"
"135",225627.29,219885.88,5741.41,0,"BaltimoreWashington"
"136",201392.01,196076.34,5315.67,0,"BaltimoreWashington"
"137",191339.73,184109.06,6357.06,873.61,"BaltimoreWashington"
"138",163768.62,158964.08,4804.54,0,"BaltimoreWashington"
"139",176385.62,171699.95,4685.67,0,"BaltimoreWashington"
"140",197864.76,193130.9,4733.86,0,"BaltimoreWashington"
"141",192522.26,188374.49,4147.77,0,"BaltimoreWashington"
"142",171961.07,168224.2,3736.87,0,"BaltimoreWashington"
"143",190762.55,186976.97,3785.58,0,"BaltimoreWashington"
"144",179990.18,174864.87,5125.31,0,"BaltimoreWashington"
"145",180932.96,175771.39,5161.57,0,"BaltimoreWashington"
"146",164589.36,159916.87,4672.49,0,"BaltimoreWashington"
"147",217350.64,209761.81,7588.83,0,"BaltimoreWashington"
"148",173858.5,169390.88,4467.62,0,"BaltimoreWashington"
"149",155406.52,151330.87,4075.65,0,"BaltimoreWashington"
"150",141136.68,137146.07,3990.61,0,"BaltimoreWashington"
"151",23561.1,23520.19,5.69,35.22,"Boise"
"152",21935.9,21900.35,11.43,24.12,"Boise"
"153",21868.27,21842.87,4.44,20.96,"Boise"
"154",43091.6,42734.53,0,357.07,"Boise"
"155",16057.99,15860.63,0,197.36,"Boise"
"156",17547.95,17530.67,4.32,12.96,"Boise"
"157",25635.41,25200.25,8.65,426.51,"Boise"
"158",12999.91,12777.83,119.79,102.29,"Boise"
"159",12362.73,12331.82,0,30.91,"Boise"
"160",13711.48,13660.98,0,50.5,"Boise"
"161",8921.26,8918,0,3.26,"Boise"
"162",13769.64,13543.47,185.46,40.71,"Boise"
"163",5968.42,5462.15,504.65,1.62,"Boise"
"164",7763.11,7596.64,160,6.47,"Boise"
"165",10893.8,10601.02,273.41,19.37,"Boise"
"166",7482.65,7482.65,0,0,"Boise"
"167",6936.04,6934.43,0,1.61,"Boise"
"168",5440.56,5440.56,0,0,"Boise"
"169",7420.09,7420.09,0,0,"Boise"
"170",6096.91,6090.51,0,6.4,"Boise"
"171",7582.25,7568.92,13.33,0,"Boise"
"172",6036.39,5987.5,48.89,0,"Boise"
"173",6511.85,6358.04,153.81,0,"Boise"
"174",7170.97,6354.45,816.52,0,"Boise"
"175",9571.92,8335.04,1236.88,0,"Boise"
"176",6637.61,6557.06,80.55,0,"Boise"
"177",5621.07,5619.44,0,1.63,"Boise"
"178",7286.27,7021.56,0,264.71,"Boise"
"179",7800.04,7800.04,0,0,"Boise"
"180",5612.56,5603.8,8.76,0,"Boise"
"181",7866.15,7860.31,5.84,0,"Boise"
"182",7507.26,7469.51,0,37.75,"Boise"
"183",6354.01,6345.82,0,8.19,"Boise"
"184",9495.53,9453.06,0,42.47,"Boise"
"185",6354.81,6349.93,0,4.88,"Boise"
"186",7179.45,7174.6,0,4.85,"Boise"
"187",7960.22,7953.8,0,6.42,"Boise"
"188",5747.78,5747.78,0,0,"Boise"
"189",6513.78,6510.61,0,3.17,"Boise"
"190",4789.54,4789.54,0,0,"Boise"
"191",3311.77,3311.77,0,0,"Boise"
"192",4445.9,4445.9,0,0,"Boise"
"193",4860.43,4860.43,0,0,"Boise"
"194",7237.98,6478.75,759.23,0,"Boise"
"195",7467.27,7235.2,232.07,0,"Boise"
"196",5340.86,3647.52,1693.34,0,"Boise"
"197",3047.17,1373.42,1673.75,0,"Boise"
"198",6644.84,4867.26,1777.58,0,"Boise"
"199",4530.04,2009.53,2520.51,0,"Boise"
"200",3915.94,1119.18,2796.76,0,"Boise"
"201",4923.75,3295.11,1628.64,0,"Boise"
"202",7755.62,6064.3,1691.32,0,"Boise"
"203",86012.86,85913.6,99.26,0,"Boston"
"204",88901.8,88768.47,133.33,0,"Boston"
"205",89722.96,89523.38,199.58,0,"Boston"
"206",75889.78,75666.22,223.56,0,"Boston"
"207",74125.62,73864.52,261.1,0,"Boston"
"208",78648.17,78161.82,486.35,0,"Boston"
"209",87352.15,85604.19,1747.96,0,"Boston"
"210",93342.82,88265.25,5077.57,0,"Boston"
"211",98507.92,93443.08,5064.84,0,"Boston"
"212",99326.99,94581.94,4745.05,0,"Boston"
"213",91049.58,86046.25,5003.33,0,"Boston"
"214",101909.89,97513.23,4396.66,0,"Boston"
"215",103038.91,97207.43,5831.48,0,"Boston"
"216",84726.9,82123.56,2603.34,0,"Boston"
"217",95171.55,91612.66,3558.89,0,"Boston"
"218",89114.66,84843.55,4271.11,0,"Boston"
"219",95172.85,94558.41,614.44,0,"Boston"
"220",83430.9,83242.01,188.89,0,"Boston"
"221",95826.5,95585.38,241.12,0,"Boston"
"222",96109.23,95887.01,222.22,0,"Boston"
"223",94518.79,94287.69,231.1,0,"Boston"
"224",97508.59,97214.15,294.44,0,"Boston"
"225",100694.94,100466.86,228.08,0,"Boston"
"226",109746.47,109519,227.47,0,"Boston"
"227",148182.59,146946.54,1236.05,0,"Boston"
"228",148861.42,145982.99,2878.43,0,"Boston"
"229",143455.74,142574.63,881.11,0,"Boston"
"230",126114.48,125821.15,293.33,0,"Boston"
"231",151442.1,151258.77,183.33,0,"Boston"
"232",137408.28,137224.94,183.34,0,"Boston"
"233",142818.64,142515.32,303.32,0,"Boston"
"234",138157.74,137769.31,388.43,0,"Boston"
"235",149526.12,147667.72,1858.4,0,"Boston"
"236",143997.65,141309.43,2688.22,0,"Boston"
"237",118714.26,115148.87,3565.39,0,"Boston"
"238",109400.12,106866.42,2533.7,0,"Boston"
"239",115562.72,114562.17,1000.55,0,"Boston"
"240",110638.95,108644.33,1994.62,0,"Boston"
"241",115635.81,113541.34,1948.64,145.83,"Boston"
"242",110561.28,108838.11,1723.17,0,"Boston"
"243",102664.18,102204.17,460.01,0,"Boston"
"244",102556.32,101931.87,624.45,0,"Boston"
"245",114386.82,113811.26,575.56,0,"Boston"
"246",97862.93,97423.17,439.76,0,"Boston"
"247",100715.97,100498.19,217.78,0,"Boston"
"248",114839.16,114283.61,555.55,0,"Boston"
"249",106216.72,105403.38,813.34,0,"Boston"
"250",110214.39,109900.93,313.46,0,"Boston"
"251",116472.16,115538.05,934.11,0,"Boston"
"252",109036.52,108668.74,367.78,0,"Boston"
"253",111524.61,111192.88,331.73,0,"Boston"
"254",87663.13,87406.84,256.29,0,"Boston"
"255",55236.68,55236.68,0,0,"BuffaloRochester"
"256",51165.21,51165.21,0,0,"BuffaloRochester"
"257",56202.44,56202.44,0,0,"BuffaloRochester"
"258",48355.65,48355.65,0,0,"BuffaloRochester"
"259",42662.25,42662.25,0,0,"BuffaloRochester"
"260",49642.35,49642.35,0,0,"BuffaloRochester"
"261",56335.34,55593.12,742.22,0,"BuffaloRochester"
"262",60187.87,58885.65,1302.22,0,"BuffaloRochester"
"263",54298.62,52956.4,1342.22,0,"BuffaloRochester"
"264",61283.43,59381.21,1902.22,0,"BuffaloRochester"
"265",63787.47,62627.47,1160,0,"BuffaloRochester"
"266",56025.17,54829.61,1195.56,0,"BuffaloRochester"
"267",57425.67,56141.23,1284.44,0,"BuffaloRochester"
"268",28438.3,27767.19,671.11,0,"BuffaloRochester"
"269",19258.95,18437.84,821.11,0,"BuffaloRochester"
"270",22867.43,22421.87,445.56,0,"BuffaloRochester"
"271",25106.09,25092.76,13.33,0,"BuffaloRochester"
"272",20483.02,20483.02,0,0,"BuffaloRochester"
"273",23840.42,23840.42,0,0,"BuffaloRochester"
"274",22371.73,22371.73,0,0,"BuffaloRochester"
"275",24051.92,24051.92,0,0,"BuffaloRochester"
"276",31622.86,31622.86,0,0,"BuffaloRochester"
"277",43788.54,43788.54,0,0,"BuffaloRochester"
"278",70982.41,70982.41,0,0,"BuffaloRochester"
"279",74222.68,73796.01,426.67,0,"BuffaloRochester"
"280",75277.49,74370.82,906.67,0,"BuffaloRochester"
"281",78811.96,78749.74,62.22,0,"BuffaloRochester"
"282",54130.44,54130.44,0,0,"BuffaloRochester"
"283",95473.84,95473.84,0,0,"BuffaloRochester"
"284",71990.67,71990.67,0,0,"BuffaloRochester"
"285",75473.15,75473.15,0,0,"BuffaloRochester"
"286",65785.96,65741.52,44.44,0,"BuffaloRochester"
"287",74392.69,73414.91,977.78,0,"BuffaloRochester"
"288",95285.89,94832.56,453.33,0,"BuffaloRochester"
"289",85477.33,84332.05,1102.22,43.06,"BuffaloRochester"
"290",86183.43,85503.15,640,40.28,"BuffaloRochester"
"291",85576.8,85056.94,519.86,0,"BuffaloRochester"
"292",71752.15,70938.4,813.75,0,"BuffaloRochester"
"293",72056.8,71408.88,597.92,50,"BuffaloRochester"
"294",70027.47,69919,108.47,0,"BuffaloRochester"
"295",71344.15,71288.59,55.56,0,"BuffaloRochester"
"296",54157.6,54046.49,111.11,0,"BuffaloRochester"
"297",62576.63,62216.63,360,0,"BuffaloRochester"
"298",69541.74,69479.52,62.22,0,"BuffaloRochester"
"299",62312.01,61765.34,546.67,0,"BuffaloRochester"
"300",55357.07,55232.63,124.44,0,"BuffaloRochester"
"301",64513.81,63918.25,595.56,0,"BuffaloRochester"
"302",86919.58,86848.47,71.11,0,"BuffaloRochester"
"303",58649.74,57909.74,740,0,"BuffaloRochester"
"304",43421.89,43419.67,2.22,0,"BuffaloRochester"
"305",53514.26,53514.26,0,0,"BuffaloRochester"
"306",57182.88,57182.88,0,0,"BuffaloRochester"
